what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1539327894397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327897350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327897506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327897715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327897855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327897980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327898933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327899058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327899183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327899340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327899543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327899729
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539327902081
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327902346
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539327903612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327904971
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327908690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327908753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327908768
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327910768
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539327912503
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327912737
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539327914320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327914601
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539327916086
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539327916305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327922570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327926836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1539327928528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327934784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539327949711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327960745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539327964705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1539327966377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327971252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539327973112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539327988492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539328009318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539328017508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539328020505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539328024233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328046424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539328050660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328058899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328066758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328078371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1539328079449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1539328080118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328084197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328141109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328164731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1539328168418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1539328169137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328170528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328175109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328175968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328222268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328271886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328271902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328282382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328284992
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1539328285008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328295305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328302039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328348845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328375396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328376633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328408677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1539328410021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1539328410708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328413427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328418037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328419052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328444326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539328452741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328454685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328520230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328549413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328551986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539328657798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539334005844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539334029720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539334899062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539334901207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335004717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335019201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335298402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335314308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335336886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335340011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335400071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1539335401555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1539335402149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335409172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335417135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335419119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335560328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539335604839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539335617956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539335624178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539335627476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539335630445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539335633695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539335636492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539335643023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335709568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335837963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539335860915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1539335867009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1539335867822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335870009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335874056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335875072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335886619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335912477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335940534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539335942773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336106500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336108782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336108922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336164779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539336170782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539336171142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539336171689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336174704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336332063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336345743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336363817
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336366421
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336368687
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336378612
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336383034
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336383034
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336384909
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336384909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539336387222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539336389097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336394598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336401088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539336434489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539338222447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539338255023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539338362156
